id,negation_utterance,negation_utterance_order,contrast_utterance,contrast_utterance_order,valid_contrast,negated_noun,contrast_noun,annotator,notes,work_unit_id
8246287,not the same,201,they're new different,200,TRUE,same,different,Jess,,WU-001
8246644,there's not room for the lorry too is there,265,,,FALSE,,,Jess,,WU-001
8248527,they're not bags,685,they're boxes,686,TRUE,bags,boxes,Jess,,WU-001
8249806,not my nose,748,,,FALSE,,,Jess,,WU-001
8249879,Mummy's gonna drink some of her coffee if it's not cold,919,,,FALSE,,,Jess,,WU-001
8250473,not James,973,Jill,976,FALSE,James,Jill,Jess,,WU-001
8250504,not James,975,Jill,976,FALSE,James,Jill,Jess,,WU-001
8250681,that's not crisps,827,,,TRUE,crisps,xxx,Jess,,WU-001
8251625,that's not cheese is it,76,,,TRUE,cheese,xxx,Jess,,WU-001
8252313,not a lion,1063,actually it's a tiger isn't it,1062,FALSE,lion,tiger,Jess,,WU-001
8252451,no it's not it's not scissors,155,it's called a paper+clip,156,FALSE,scissors,paper+clip,Jess,,WU-001
8253512,that's not a piggy,1102,elephant,1107,FALSE,piggy,elephant,Jess,,WU-001
8253816,not fit down here,1126,,,FALSE,,,Jess,,WU-001
8255619,it's not the xxx,130,,,TRUE,xxx,xxx,Jess,,WU-001
8255738,not the cot,229,,,TRUE,cot,xxx,Jess,,WU-001
8256761,you're not a baby are you,590,,,FALSE,,,Jess,,WU-001
8257106,that's not soup,1499,that's milk,1502,TRUE,soup,milk,Jess,,WU-001
8257116,that's not soup,1500,that's milk,1502,TRUE,soup,milk,Jess,,WU-001
8257129,that's not soup,1501,that's milk,1502,TRUE,soup,milk,Jess,,WU-001
8257459,he's not a kangaroo,9,he's a giraffe,10,TRUE,kangaroo,giraffe,Jess,,WU-001
8257685,not the dog+house,33,,,TRUE,dog+house,xxx,Jess,,WU-001
8260385,was it not a carrot,24,it was an orange wasn't it,31,TRUE,carrot,orange,Jess,,WU-001
8260598,they're not carrots,527,apples,528,TRUE,carrots,apples,Jess,,WU-001
8260812,you're not a bit shy,218,,,FALSE,,,Jess,,WU-001
8260826,you're not a bit shy,219,,,FALSE,,,Jess,,WU-001
8264206,not Anne and Jill,1060,,,TRUE,Anne and Jill,xxx,Jess,,WU-001
8264899,it's not the video,56,,,FALSE,,,Jess,,WU-001
8264923,it's not trousers,1226,is it a dress or trousers,1224,TRUE,trousers,dress,Jess,,WU-001
8265140,not duck in the cupboard,560,Duck_in_Trouble,559,TRUE,duck in the cupboard,duck in trouble,Jess,,WU-001
8265432,that not Daddy,89,,,TRUE,Daddy,xxx,Jess,,WU-001
8265507,that's not dalmatians,111,that's a man,119,TRUE,dalmations,a man,Jess,,WU-001
8265942,he's not a dalmatian,133,he's a man,138,TRUE,dalmation,man,Jess,,WU-001
8265988,it's not a bee,608,,,TRUE,a bee,xxx,Jess,,WU-001
8266151,he's not a dog is he,144,he's a man,147,FALSE,a dog,a man,Jess,,WU-001
8266187,he's not a dog and he's not a dalmatian,146,he's a man,147,TRUE,a dalmation,a man,Jess,,WU-001
8266275,there's not space is there,1216,,,FALSE,,,Jess,,WU-001
8266454,it's not my bike,141,,,TRUE,my bike,xxx,Jess,,WU-001
8266707,not Sophie,162,,,FALSE,,,Jess,,WU-001
8266732,not his head,159,that's his tail we can see,158,FALSE,his head,his tail,Jess,,WU-001
8266737,not Sophie,164,,,FALSE,,,Jess,,WU-001
8266743,not his head,160,that's his tail we can see,158,TRUE,his head,his tail,Jess,,WU-001
8266762,it's not his head,161,not his head,160,TRUE,his head,his tail,Jess,,WU-001
8266861,that not the daddy Pongo xxx,186,that Mummy doggie,187,TRUE,daddy Pongo,Mummy doggie,Jess,,WU-001
8267099,I'm not your mummie,629,I'm a mummie sheep,630,TRUE,you mummie,mummie sheep,Jess,,WU-001
8267132,not your mummie,631,I'm a mummie sheep,630,TRUE,you mummie,mummie sheep,Jess,,WU-001
8267142,well it's not your birthday tomorrow is it,876,it's Carl's birthday,877,TRUE,your birthday,Carl's birthday,Jess,,WU-001
8267457,he not going stand up,201,,,FALSE,,,Jess,,WU-001
8267625,she's not dalmatians,232,she's called Cruella_de_Ville,233,TRUE,dalmations,Cruella_de_Ville,Jess,,WU-001
8267761,that's not a table,218,,,TRUE,table,xxx,Jess,,WU-001
8267793,he's not a naughty boy,1377,naughty boy,1375,FALSE,,,Jess,,WU-001
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
