id,negation_utterance,negation_utterance_order,work_unit_id
8362895,not a good idea to put on a tomato is it,1556,WU-009
8363478,he's not a very happy fish,805,WU-009
8363711,it's not a very good blue is it,1011,WU-009
8363765,not pieces in,834,WU-009
8363771,not pieces,835,WU-009
8363850,it's not Tiny_Tears is it,1033,WU-009
8364012,it's not a tree,1058,WU-009
8364274,that's not a giraffe,1097,WU-009
8364857,nobody no girls and no not Heidi,1427,WU-009
8364885,because it's not a self service petrol station is it,629,WU-009
8364898,not Heidi,1429,WU-009
8364915,and not Heidi,1430,WU-009
8364938,that's not the biggest one,1423,WU-009
8365060,that's not the next biggest,1431,WU-009
8365154,it's not red again is it,1024,WU-009
8365197,it's not Tiny_Tears,998,WU-009
8365347,Pingu's not a pirate is he,1465,WU-009
8365544,it's it's not his house,1477,WU-009
8365614,that's not the next one,1467,WU-009
8365656,well if you don't know which one it is it's not that serious is it,837,WU-009
8366122,well because it's not the right one is it,1493,WU-009
8366566,it's not a crane,731,WU-009
8366682,I'm not a chair you know,1118,WU-009
8366792,it's not the boys,1545,WU-009
8367147,it's not Bella that holds the eggs,1384,WU-009
8367217,I not a man,1569,WU-009
8367529,it's not a biscuit,1156,WU-009
8367762,well it's just not one of the things they eat,815,WU-009
8368032,they're not buns,1531,WU-009
8368297,it's not a crocodile,1577,WU-009
8368404,that's not the right bag though is it,755,WU-009
8368580,they're not socks they're dolly's pants,1625,WU-009
8368805,not the seesaw,1330,WU-009
8369370,not a dollys,730,WU-009
8369710,not the whole bunch,1680,WU-009
8370662,it's not a boy,1009,WU-009
8370768,it's not the sort of thing you do,837,WU-009
8371154,there's not room for both of you,1780,WU-009
8371392,that's not his friend,1724,WU-009
8371778,not the goat,1769,WU-009
8372006,oh not not Dan_dog,1789,WU-009
8372031,not Dan_dog,1791,WU-009
8372873,it's not a zebra,1225,WU-009
8373011,it's not a skyscraper,1037,WU-009
8373179,that's not christmas tree,81,WU-009
8373209,that's not not Caroline,70,WU-009
8373947,I'm not Rachel,122,WU-009
8374130,you know they're not the same person,130,WU-009
8374156,you know they're not the same person don't you you silly girl,132,WU-009
8374280,that one's not Alfie_Romeo,302,WU-009
